iter	Passed	Remaining
446	1140	1411
447	1142	1408
448	1144	1404
449	1147	1401
450	1149	1398
451	1151	1395
452	1153	1393
453	1155	1389
454	1158	1387
455	1160	1384
456	1163	1382
457	1165	1379
458	1167	1376
459	1170	1373
460	1172	1371
461	1174	1367
462	1176	1364
463	1178	1361
464	1180	1358
465	1182	1355
466	1185	1352
467	1187	1349
468	1189	1347
469	1192	1344
470	1193	1340
471	1196	1338
472	1198	1335
473	1200	1332
474	1202	1329
475	1204	1325
476	1206	1323
477	1209	1320
478	1211	1317
479	1213	1314
480	1215	1311
481	1217	1308
482	1219	1305
483	1222	1302
484	1224	1300
485	1226	1297
486	1228	1294
487	1231	1291
488	1233	1288
489	1235	1285
490	1237	1282
491	1239	1279
492	1241	1276
493	1243	1273
494	1245	1270
495	1247	1267
496	1249	1264
497	1251	1261
498	1253	1258
499	1255	1255
500	1258	1253
501	1260	1250
502	1263	1247
503	1265	1245
504	1267	1242
505	1269	1239
506	1271	1236
507	1273	1233
508	1275	1230
509	1278	1227
510	1280	1225
511	1282	1222
512	1284	1219
513	1286	1216
514	1289	1214
515	1291	1211
516	1293	1208
517	1295	1205
518	1297	1202
519	1299	1199
520	1301	1196
521	1303	1194
522	1306	1191
523	1308	1188
524	1310	1185
525	1312	1182
526	1314	1179
527	1316	1177
528	1319	1174
529	1321	1172
530	1324	1169
531	1326	1166
532	1327	1163
533	1329	1160
534	1331	1157
535	1334	1155
536	1336	1152
537	1339	1150
538	1341	1147
539	1343	1144
540	1345	1141
541	1347	1138
542	1350	1136
543	1352	1134
544	1355	1131
545	1357	1128
546	1359	1126
547	1361	1123
548	1364	1120
549	1366	1118
550	1368	1115
551	1370	1112
552	1372	1109
553	1374	1106
554	1376	1104
555	1379	1101
556	1381	1098
557	1383	1096
558	1385	1093
559	1387	1090
560	1389	1087
561	1391	1084
562	1393	1081
563	1396	1079
564	1398	1076
565	1400	1074
566	1402	1071
567	1404	1068
568	1406	1065
569	1408	1062
570	1410	1059
571	1413	1057
572	1415	1054
573	1417	1051
574	1419	1049
575	1421	1046
576	1423	1043
577	1425	1040
578	1427	1037
579	1429	1035
580	1431	1032
581	1433	1029
582	1435	1026
583	1437	1024
584	1440	1022
585	1443	1019
586	1444	1016
587	1447	1013
588	1449	1011
589	1451	1008
590	1453	1006
591	1456	1003
592	1458	1001
593	1460	998
594	1462	995
595	1464	992
596	1467	990
597	1469	987
598	1471	985
599	1474	982
600	1476	980
601	1478	977
602	1480	974
603	1482	971
604	1484	969
605	1487	967
606	1489	964
607	1491	961
608	1493	958
609	1495	956
610	1497	953
611	1499	950
612	1501	948
613	1504	945
614	1506	942
615	1508	940
616	1510	937
617	1512	935
618	1515	932
619	1517	929
620	1519	927
621	1521	924
622	1523	921
623	1525	919
624	1527	916
625	1529	913
626	1532	911
627	1534	908
628	1536	906
629	1538	903
630	1540	900
631	1542	897
632	1544	895
633	1547	893
634	1549	890
635	1551	887
636	1553	885
637	1555	882
638	1557	880
639	1559	877
640	1561	874
641	1563	872
642	1566	869
643	1568	867
644	1570	864
645	1573	862
646	1575	859
647	1577	857
648	1579	854
649	1582	851
650	1584	849
651	1586	846
652	1588	844
653	1590	841
654	1592	838
655	1594	836
656	1596	833
657	1598	830
658	1600	828
659	1602	825
660	1605	823
661	1607	820
662	1610	818
663	1613	816
664	1615	813
665	1617	811
666	1619	808
667	1621	806
668	1623	803
669	1626	800
670	1628	798
671	1631	796
672	1632	793
673	1634	790
674	1636	788
675	1639	785
676	1641	783
677	1643	780
678	1645	778
679	1648	775
680	1650	773
681	1651	770
682	1653	767
683	1655	765
684	1658	762
685	1660	759
686	1662	757
687	1664	754
688	1666	752
689	1668	749
690	1670	746
691	1672	744
692	1674	741
693	1676	739
694	1678	736
695	1680	734
696	1682	731
697	1685	729
698	1687	726
699	1689	723
700	1690	721
701	1693	718
702	1695	716
703	1697	713
704	1699	711
705	1701	708
706	1703	706
707	1705	703
708	1708	701
709	1710	698
710	1712	696
711	1714	693
712	1716	691
713	1719	688
714	1721	686
715	1724	683
716	1726	681
717	1728	678
718	1729	676
719	1732	673
720	1734	671
721	1736	668
722	1739	666
723	1742	664
724	1744	661
725	1747	659
726	1749	656
727	1752	654
728	1754	652
729	1756	649
730	1758	647
731	1760	644
732	1762	642
733	1764	639
734	1766	636
735	1768	634
736	1770	631
737	1773	629
738	1775	626
739	1777	624
740	1779	622
741	1782	619
742	1784	617
743	1785	614
744	1787	611
745	1790	609
746	1792	607
747	1794	604
748	1797	602
749	1799	599
750	1801	597
751	1803	594
752	1805	592
753	1807	589
754	1809	587
755	1811	584
756	1814	582
757	1816	579
758	1818	577
759	1820	574
760	1822	572
761	1824	569
762	1826	567
763	1829	565
764	1831	562
765	1833	560
766	1836	557
767	1838	555
768	1840	552
769	1842	550
